,probe_g,
212129_at,NIPA2,NIPA magnesium transporter 2
212130_x_at,EIF1,eukaryotic translation initiation factor 1
212131_at,LSM14A,LSM14A mRNA processing body assembly factor
212132_at,LSM14A,LSM14A mRNA processing body assembly factor
212133_at,NIPA2,NIPA magnesium transporter 2
212134_at,PHLDB1,pleckstrin homology like domain family B member 1
212135_s_at,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
212136_at,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
212137_at,LARP1,"La ribonucleoprotein 1, translational regulator"
212138_at,PDS5A,PDS5 cohesin associated factor A
212139_at,GCN1,GCN1 activator of EIF2AK4
212140_at,PDS5A,PDS5 cohesin associated factor A
212141_at,MCM4,minichromosome maintenance complex component 4
212142_at,MCM4,minichromosome maintenance complex component 4
212143_s_at,IGFBP3,insulin like growth factor binding protein 3
212144_at,SUN2,Sad1 and UNC84 domain containing 2
212145_at,MRPS27,mitochondrial ribosomal protein S27
212146_at,PLEKHM2,pleckstrin homology and RUN domain containing M2
212147_at,SMG5,SMG5 nonsense mediated mRNA decay factor
212148_at,PBX1,PBX homeobox 1
212149_at,EFR3A,EFR3 homolog A
212150_at,EFR3A,EFR3 homolog A
212151_at,PBX1,PBX homeobox 1
212152_x_at,ARID1A,AT-rich interaction domain 1A
212153_at,POGZ,pogo transposable element derived with ZNF domain
212154_at,SDC2,syndecan 2
212155_at,RNF187,ring finger protein 187
212156_at,VPS39,VPS39 subunit of HOPS complex
212157_at,SDC2,syndecan 2
212158_at,SDC2,syndecan 2
212159_x_at,AP2A2,adaptor related protein complex 2 subunit alpha 2
212160_at,XPOT,exportin for tRNA
212161_at,AP2A2,adaptor related protein complex 2 subunit alpha 2
212162_at,KIDINS220,kinase D interacting substrate 220
212163_at,KIDINS220,kinase D interacting substrate 220
212164_at,TMEM183A,transmembrane protein 183A
212164_at,TMEM183BP,"transmembrane protein 183B, pseudogene"
212165_at,TMEM183A,transmembrane protein 183A
212165_at,TMEM183BP,"transmembrane protein 183B, pseudogene"
212166_at,XPO7,exportin 7
212167_s_at,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
212168_at,RBM12,RNA binding motif protein 12
212169_at,FKBP9,FKBP prolyl isomerase 9
212170_at,RBM12,RNA binding motif protein 12
212171_x_at,VEGFA,vascular endothelial growth factor A
212172_at,AK2,adenylate kinase 2
212173_at,AK2,adenylate kinase 2
212174_at,AK2,adenylate kinase 2
212175_s_at,AK2,adenylate kinase 2
212176_at,PNISR,PNN interacting serine and arginine rich protein
212177_at,PNISR,PNN interacting serine and arginine rich protein
212178_s_at,POM121,POM121 transmembrane nucleoporin
212178_s_at,POM121C,POM121 transmembrane nucleoporin C
212179_at,PNISR,PNN interacting serine and arginine rich protein
212180_at,CRKL,"CRK like proto-oncogene, adaptor protein"
212181_s_at,NUDT4,nudix hydrolase 4
212182_at,NUDT4,nudix hydrolase 4
212183_at,NUDT4,nudix hydrolase 4
212184_s_at,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2
212185_x_at,MT2A,metallothionein 2A
212186_at,ACACA,acetyl-CoA carboxylase alpha
212187_x_at,PTGDS,prostaglandin D2 synthase
212188_at,KCTD12,potassium channel tetramerization domain containing 12
212189_s_at,COG4,component of oligomeric golgi complex 4
212190_at,SERPINE2,serpin family E member 2
212191_x_at,RPL13,ribosomal protein L13
212192_at,KCTD12,potassium channel tetramerization domain containing 12
212193_s_at,LARP1,"La ribonucleoprotein 1, translational regulator"
212194_s_at,TM9SF4,transmembrane 9 superfamily member 4
212195_at,IL6ST,interleukin 6 cytokine family signal transducer
212196_at,IL6ST,interleukin 6 cytokine family signal transducer
212197_x_at,MPRIP,myosin phosphatase Rho interacting protein
212198_s_at,TM9SF4,transmembrane 9 superfamily member 4
212199_at,MRFAP1L1,Morf4 family associated protein 1 like 1
212200_at,ANKLE2,ankyrin repeat and LEM domain containing 2
212201_at,ANKLE2,ankyrin repeat and LEM domain containing 2
212202_s_at,TMEM87A,transmembrane protein 87A
212203_x_at,IFITM3,interferon induced transmembrane protein 3
212204_at,TMEM87A,transmembrane protein 87A
212205_at,H2AZ2,H2A.Z variant histone 2
212206_s_at,H2AZ2,H2A.Z variant histone 2
212207_at,MED13L,mediator complex subunit 13L
212208_at,MED13L,mediator complex subunit 13L
212209_at,MED13L,mediator complex subunit 13L
212210_at,INTS1,integrator complex subunit 1
212211_at,ANKRD17,ankyrin repeat domain 17
212212_s_at,INTS1,integrator complex subunit 1
212213_x_at,OPA1,OPA1 mitochondrial dynamin like GTPase
212214_at,OPA1,OPA1 mitochondrial dynamin like GTPase
212215_at,PREPL,prolyl endopeptidase like
212216_at,PREPL,prolyl endopeptidase like
212217_at,PREPL,prolyl endopeptidase like
212218_s_at,FASN,fatty acid synthase
212219_at,PSME4,proteasome activator subunit 4
212220_at,PSME4,proteasome activator subunit 4
212221_x_at,IDS,iduronate 2-sulfatase
212222_at,PSME4,proteasome activator subunit 4
212223_at,IDS,iduronate 2-sulfatase
212224_at,ALDH1A1,aldehyde dehydrogenase 1 family member A1
212225_at,EIF1,eukaryotic translation initiation factor 1
212226_s_at,PLPP3,phospholipid phosphatase 3
212227_x_at,EIF1,eukaryotic translation initiation factor 1
212228_s_at,COQ9,coenzyme Q9
212229_s_at,FBXO21,F-box protein 21
212230_at,PLPP3,phospholipid phosphatase 3
212231_at,FBXO21,F-box protein 21
212232_at,FNBP4,formin binding protein 4
212233_at,MAP1B,microtubule associated protein 1B
212234_at,ASXL1,ASXL transcriptional regulator 1
212235_at,PLXND1,plexin D1
212236_x_at,KRT17,keratin 17
212237_at,ASXL1,ASXL transcriptional regulator 1
212238_at,ASXL1,ASXL transcriptional regulator 1
212239_at,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
212240_s_at,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
212241_at,POLR2M,RNA polymerase II subunit M
212241_at,GCOM1,"GCOM1, MYZAP-POLR2M combined locus"
212242_at,TUBA4A,tubulin alpha 4a
212243_at,POLR2M,RNA polymerase II subunit M
212243_at,GCOM1,"GCOM1, MYZAP-POLR2M combined locus"
212244_at,POLR2M,RNA polymerase II subunit M
212244_at,GCOM1,"GCOM1, MYZAP-POLR2M combined locus"
212245_at,MCFD2,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
212246_at,MCFD2,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
212247_at,NUP205,nucleoporin 205
212248_at,MTDH,metadherin
212249_at,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
212250_at,MTDH,metadherin
212251_at,MTDH,metadherin
212252_at,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2
212253_x_at,DST,dystonin
212254_s_at,DST,dystonin
212255_s_at,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
212256_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10
212257_s_at,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
212258_s_at,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
212259_s_at,PBXIP1,PBX homeobox interacting protein 1
212260_at,GIGYF2,GRB10 interacting GYF protein 2
212261_at,GIGYF2,GRB10 interacting GYF protein 2
212262_at,QKI,"QKI, KH domain containing RNA binding"
212263_at,QKI,"QKI, KH domain containing RNA binding"
212264_s_at,WAPL,WAPL cohesin release factor
212265_at,QKI,"QKI, KH domain containing RNA binding"
212266_s_at,SRSF5,serine and arginine rich splicing factor 5
212267_at,WAPL,WAPL cohesin release factor
212268_at,SERPINB1,serpin family B member 1
212269_s_at,MCM3AP,minichromosome maintenance complex component 3 associated protein
212270_x_at,RPL17,ribosomal protein L17
212270_x_at,C18orf32,chromosome 18 open reading frame 32
212270_x_at,RPL17-C18orf32,RPL17-C18orf32 readthrough
212271_at,MAPK1,mitogen-activated protein kinase 1
212272_at,LPIN1,lipin 1
212273_x_at,GNAS,GNAS complex locus
212274_at,LPIN1,lipin 1
212275_s_at,SRCAP,Snf2 related CREBBP activator protein
212276_at,LPIN1,lipin 1
212277_at,MTMR4,myotubularin related protein 4
212278_x_at,UBE3A,ubiquitin protein ligase E3A
212279_at,TMEM97,transmembrane protein 97
212280_x_at,ATG4B,autophagy related 4B cysteine peptidase
212281_s_at,TMEM97,transmembrane protein 97
212282_at,TMEM97,transmembrane protein 97
212283_at,AGRN,agrin
212284_x_at,TPT1,"tumor protein, translationally-controlled 1"
212285_s_at,AGRN,agrin
212286_at,ANKRD12,ankyrin repeat domain 12
212287_at,SUZ12,SUZ12 polycomb repressive complex 2 subunit
212288_at,FNBP1,formin binding protein 1
212289_at,ANKRD12,ankyrin repeat domain 12
212290_at,SLC7A1,solute carrier family 7 member 1
212291_at,HIPK1,homeodomain interacting protein kinase 1
212292_at,SLC7A1,solute carrier family 7 member 1
212293_at,HIPK1,homeodomain interacting protein kinase 1
212294_at,GNG12,G protein subunit gamma 12
212295_s_at,SLC7A1,solute carrier family 7 member 1
212296_at,PSMD14,"proteasome 26S subunit, non-ATPase 14"
212297_at,ATP13A3,ATPase 13A3
212298_at,NRP1,neuropilin 1
212299_at,NEK9,NIMA related kinase 9
212300_at,TXLNA,taxilin alpha
212301_at,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component"
212302_at,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component"
212303_x_at,KHSRP,KH-type splicing regulatory protein
212305_s_at,MIA3,MIA SH3 domain ER export factor 3
212306_at,CLASP2,cytoplasmic linker associated protein 2
212307_s_at,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
212308_at,CLASP2,cytoplasmic linker associated protein 2
212309_at,CLASP2,cytoplasmic linker associated protein 2
212310_at,MIA3,MIA SH3 domain ER export factor 3
212311_at,SEL1L3,SEL1L family member 3
212312_at,BCL2L1,BCL2 like 1
212313_at,CHMP7,charged multivesicular body protein 7
212314_at,SEL1L3,SEL1L family member 3
212315_s_at,NUP210,nucleoporin 210
212316_at,NUP210,nucleoporin 210
212317_at,TNPO3,transportin 3
212318_at,TNPO3,transportin 3
212319_at,SGSM2,small G protein signaling modulator 2
212320_at,TUBB,tubulin beta class I
212321_at,SGPL1,sphingosine-1-phosphate lyase 1
212322_at,SGPL1,sphingosine-1-phosphate lyase 1
212323_s_at,VPS13D,vacuolar protein sorting 13 homolog D
212324_s_at,VPS13D,vacuolar protein sorting 13 homolog D
212325_at,LIMCH1,LIM and calponin homology domains 1
212326_at,VPS13D,vacuolar protein sorting 13 homolog D
212327_at,LIMCH1,LIM and calponin homology domains 1
212328_at,LIMCH1,LIM and calponin homology domains 1
212329_at,SCAP,SREBF chaperone
212330_at,TFDP1,transcription factor Dp-1
212331_at,RBL2,RB transcriptional corepressor like 2
212332_at,RBL2,RB transcriptional corepressor like 2
212333_at,FAM98A,family with sequence similarity 98 member A
212334_at,GNS,glucosamine (N-acetyl)-6-sulfatase
212335_at,GNS,glucosamine (N-acetyl)-6-sulfatase
212336_at,EPB41L1,erythrocyte membrane protein band 4.1 like 1
212337_at,TUG1,taurine up-regulated 1
212338_at,MYO1D,myosin ID
212339_at,EPB41L1,erythrocyte membrane protein band 4.1 like 1
212340_at,YIPF6,Yip1 domain family member 6
212341_at,YIPF6,Yip1 domain family member 6
212342_at,YIPF6,Yip1 domain family member 6
212343_at,YIPF6,Yip1 domain family member 6
212344_at,SULF1,sulfatase 1
212345_s_at,CREB3L2,cAMP responsive element binding protein 3 like 2
212346_s_at,MXD4,MAX dimerization protein 4
212347_x_at,MXD4,MAX dimerization protein 4
212348_s_at,KDM1A,lysine demethylase 1A
212349_at,POFUT1,protein O-fucosyltransferase 1
212350_at,TBC1D1,TBC1 domain family member 1
212351_at,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon
212352_s_at,TMED10,transmembrane p24 trafficking protein 10
212353_at,SULF1,sulfatase 1
212354_at,SULF1,sulfatase 1
212355_at,KHNYN,KH and NYN domain containing
212356_at,KHNYN,KH and NYN domain containing
212357_at,FAM168A,family with sequence similarity 168 member A
212358_at,CLIP3,CAP-Gly domain containing linker protein 3
212359_s_at,ZSWIM8,zinc finger SWIM-type containing 8
212360_at,AMPD2,adenosine monophosphate deaminase 2
212361_s_at,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
212362_at,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
212363_x_at,ACTG1,actin gamma 1
212364_at,MYO1B,myosin IB
212365_at,MYO1B,myosin IB
212366_at,ZNF292,zinc finger protein 292
212367_at,FEM1B,fem-1 homolog B
212368_at,ZNF292,zinc finger protein 292
212369_at,ZNF384,zinc finger protein 384
212370_x_at,WASHC2A,WASH complex subunit 2A
212370_x_at,WASHC2C,WASH complex subunit 2C
212371_at,DESI2,desumoylating isopeptidase 2
212372_at,MYH10,myosin heavy chain 10
212373_at,FEM1B,fem-1 homolog B
212374_at,FEM1B,fem-1 homolog B
212375_at,EP400,E1A binding protein p400
212376_s_at,EP400,E1A binding protein p400
212377_s_at,NOTCH2,notch receptor 2
212378_at,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
212379_at,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
212380_at,CMTR1,cap methyltransferase 1
212381_at,USP24,ubiquitin specific peptidase 24
212382_at,TCF4,transcription factor 4
212383_at,ATP6V0A1,ATPase H+ transporting V0 subunit a1
212384_at,DDX39B,DExD-box helicase 39B
212384_at,ATP6V1G2-DDX39B,ATP6V1G2-DDX39B readthrough (NMD candidate)
212385_at,TCF4,transcription factor 4
212386_at,TCF4,transcription factor 4
212387_at,TCF4,transcription factor 4
212388_at,USP24,ubiquitin specific peptidase 24
212389_at,SBF1,SET binding factor 1
212390_at,PDE4DIP,phosphodiesterase 4D interacting protein
212390_at,PDE4DIPP2,PDE4DIP pseudogene 2
212391_x_at,RPS3A,ribosomal protein S3A
212392_s_at,PDE4DIP,phosphodiesterase 4D interacting protein
212392_s_at,PDE4DIPP2,PDE4DIP pseudogene 2
212393_at,SBF1,SET binding factor 1
212394_at,EMC1,ER membrane protein complex subunit 1
212395_s_at,EMC1,ER membrane protein complex subunit 1
212396_s_at,EMC1,ER membrane protein complex subunit 1
212397_at,RDX,radixin
212398_at,RDX,radixin
212399_s_at,VGLL4,vestigial like family member 4
212400_at,FAM102A,family with sequence similarity 102 member A
212401_s_at,CDK11B,cyclin dependent kinase 11B
212401_s_at,CDK11A,cyclin dependent kinase 11A
212402_at,ZC3H13,zinc finger CCCH-type containing 13
212403_at,UBE3B,ubiquitin protein ligase E3B
212404_s_at,UBE3B,ubiquitin protein ligase E3B
212405_s_at,METTL13,"methyltransferase 13, eEF1A lysine and N-terminal methyltransferase"
212406_s_at,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
212407_at,METTL13,"methyltransferase 13, eEF1A lysine and N-terminal methyltransferase"
212408_at,TOR1AIP1,torsin 1A interacting protein 1
212409_s_at,TOR1AIP1,torsin 1A interacting protein 1
212410_at,MICU2,mitochondrial calcium uptake 2
212411_at,IMP4,IMP U3 small nucleolar ribonucleoprotein 4
212412_at,PDLIM5,PDZ and LIM domain 5
212413_at,SEPTIN6,septin 6
212414_s_at,SEPTIN6,septin 6
212414_s_at,GLYR1,glyoxylate reductase 1 homolog
212415_at,SEPTIN6,septin 6
212416_at,SCAMP1,secretory carrier membrane protein 1
212417_at,SCAMP1,secretory carrier membrane protein 1
212418_at,ELF1,E74 like ETS transcription factor 1
212419_at,ZCCHC24,zinc finger CCHC-type containing 24
212420_at,ELF1,E74 like ETS transcription factor 1
212421_at,KIAA0930,KIAA0930
212422_at,PDCD11,programmed cell death 11
212423_at,ZCCHC24,zinc finger CCHC-type containing 24
212424_at,PDCD11,programmed cell death 11
212425_at,SCAMP1,secretory carrier membrane protein 1
212426_s_at,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
212427_at,ECPAS,Ecm29 proteasome adaptor and scaffold
212428_at,ECPAS,Ecm29 proteasome adaptor and scaffold
212429_s_at,GTF3C2,general transcription factor IIIC subunit 2
212430_at,RBM38,RNA binding motif protein 38
212431_at,HMGXB3,HMG-box containing 3
212432_at,GRPEL1,"GrpE like 1, mitochondrial"
212433_x_at,RPS2,ribosomal protein S2
212434_at,GRPEL1,"GrpE like 1, mitochondrial"
212435_at,TRIM33,tripartite motif containing 33
212436_at,TRIM33,tripartite motif containing 33
212437_at,CENPB,centromere protein B
212438_at,SNRNP27,small nuclear ribonucleoprotein U4/U6.U5 subunit 27
212439_at,IP6K1,inositol hexakisphosphate kinase 1
212440_at,SNRNP27,small nuclear ribonucleoprotein U4/U6.U5 subunit 27
212441_at,KIAA0232,KIAA0232
212442_s_at,CERS6,ceramide synthase 6
212443_at,NBEAL2,neurobeachin like 2
212444_at,GPRC5A,G protein-coupled receptor class C group 5 member A
212445_s_at,NEDD4L,NEDD4 like E3 ubiquitin protein ligase
212446_s_at,CERS6,ceramide synthase 6
212447_at,KBTBD2,kelch repeat and BTB domain containing 2
212448_at,NEDD4L,NEDD4 like E3 ubiquitin protein ligase
212449_s_at,LYPLA1,lysophospholipase 1
212450_at,SECISBP2L,SECIS binding protein 2 like
212451_at,SECISBP2L,SECIS binding protein 2 like
212452_x_at,KAT6B,lysine acetyltransferase 6B
212453_at,KIFBP,kinesin family binding protein
212454_x_at,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
212455_at,YTHDC1,YTH domain containing 1
212456_at,CLUH,clustered mitochondria homolog
212457_at,TFE3,transcription factor binding to IGHM enhancer 3
212458_at,SPRED2,sprouty related EVH1 domain containing 2
212459_x_at,SUCLG2,succinate-CoA ligase GDP-forming subunit beta
212460_at,SPTSSA,serine palmitoyltransferase small subunit A
212461_at,AZIN1,antizyme inhibitor 1
212462_at,KAT6B,lysine acetyltransferase 6B
212463_at,CD59,CD59 molecule (CD59 blood group)
212464_s_at,FN1,fibronectin 1
212465_at,SETD3,"SET domain containing 3, actin histidine methyltransferase"
212466_at,SPRED2,sprouty related EVH1 domain containing 2
212467_at,DNAJC13,DnaJ heat shock protein family (Hsp40) member C13
212468_at,SPAG9,sperm associated antigen 9
212469_at,NIPBL,NIPBL cohesin loading factor
212470_at,SPAG9,sperm associated antigen 9
212471_at,AVL9,AVL9 cell migration associated
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
212473_s_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
212474_at,AVL9,AVL9 cell migration associated
212475_at,AVL9,AVL9 cell migration associated
212476_at,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
212477_at,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
212478_at,RMND5A,required for meiotic nuclear division 5 homolog A
212479_s_at,RMND5A,required for meiotic nuclear division 5 homolog A
212480_at,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like
212481_s_at,TPM4,tropomyosin 4
212482_at,RMND5A,required for meiotic nuclear division 5 homolog A
212483_at,NIPBL,NIPBL cohesin loading factor
212484_at,FAM89B,family with sequence similarity 89 member B
212485_at,GPATCH8,G-patch domain containing 8
212486_s_at,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
212487_at,GPATCH8,G-patch domain containing 8
212488_at,COL5A1,collagen type V alpha 1 chain
212489_at,COL5A1,collagen type V alpha 1 chain
212490_at,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
212491_s_at,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
212492_s_at,KDM4B,lysine demethylase 4B
212493_s_at,SETD2,"SET domain containing 2, histone lysine methyltransferase"
212494_at,TNS2,tensin 2
212495_at,KDM4B,lysine demethylase 4B
212496_s_at,KDM4B,lysine demethylase 4B
212497_at,MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1 like
212498_at,MARCHF6,membrane associated ring-CH-type finger 6
